# CSRF debug log
# Created: 2025-10-17 00:00:00
# Entries appended here by add_staff.php when CSRF mismatches occur.

2025-10-17 13:34:11 CSRF_MISMATCH | ip=127.0.0.1 | posted=3ab087f501b21056c6ef
2025-10-17 13:34:18 CSRF_MISMATCH | ip=127.0.0.1 | posted=3ab087f501b21056c6ef
2025-10-17 13:36:38 CSRF_MISMATCH | ip=127.0.0.1 | posted=109df0680aad49c9cede
2025-10-17 13:43:08 CSRF_MISMATCH | ip=127.0.0.1 | posted=c4323468ceeeefb8b1e5
2025-10-17 13:52:06 CSRF_MISMATCH | ip=127.0.0.1 | posted=e1226d757a0c412eb101 | session=
2025-10-17 13:53:35 CSRF_MISMATCH | ip=127.0.0.1 | posted=e1226d757a0c412eb101 | session=
2025-10-19 00:19:51 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:31:23 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:38:47 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:40:19 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:41:41 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:45:47 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:47:10 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:47:30 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:47:33 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:48:42 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:49:10 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:49:13 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:49:16 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 00:51:52 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 01:04:20 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:27:27 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:29:34 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:30:54 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:31:16 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:31:31 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:32:12 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:34:22 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:35:09 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:39:13 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:40:16 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:40:26 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:42:46 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:43:42 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:44:05 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:44:44 TOKEN_INIT | ip=::1 | session=69208b73e550f8be12ae | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:52:41 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=0 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache","Set-Cookie: csrf_add_staff=cc2184a939893b0db741fd5fa51119
2025-10-19 07:53:17 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:55:17 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:57:14 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:57:46 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:58:08 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 07:58:31 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:00:20 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:00:52 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:01:22 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:01:24 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:04:55 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:06:40 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:11:05 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:11:46 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:12:09 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:16:01 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:17:48 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:18:28 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:24:59 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:27:57 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:30:48 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:35:41 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:38:14 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:41:23 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:42:21 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:43:15 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:43:32 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:46:17 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 08:52:14 TOKEN_INIT | ip=::1 | session=cc2184a939893b0db741 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 10:30:22 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=0 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache","Set-Cookie: csrf_add_staff=9d68f92ef84df2e2af02a59de808eb
2025-10-19 10:38:53 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 10:51:41 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 10:58:51 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:00:04 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:06:04 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:07:07 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:08:40 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:09:06 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:09:17 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
2025-10-19 11:15:09 TOKEN_INIT | ip=::1 | session=9d68f92ef84df2e2af02 | have_cookie=1 | headers=["X-Powered-By: PHP\/8.2.12","Expires: Thu, 19 Nov 1981 08:52:00 GMT","Cache-Control: no-store, no-cache, must-revalidate","Pragma: no-cache"]
